id,location,latitude,longitude
0,Jasna Góra,50°48′45″N,19°05′50″E
1,Bazylika jasnogórska,50°48′45″N,19°05′50″E
2,Jasna Góra (Obniżenie Górnej Warty),50°48′45″N,19°05′50″E
3,Kaplica Matki Boskiej Częstochowskiej na Jasnej Górze,50°48′44″N,19°05′51″E
4,Oblężenie Jasnej Góry,"50°48′45,3600″N","19°05′50,6400″E"
5,Parki podjasnogórskie,50°48′45″N,19°06′10″E
6,Stare Miasto w Warszawie,"52,2498°N","21,0122°E"
7,Bazylika archikatedralna św. Jana Chrzciciela w Warszawie,52°14′55″N,21°00′49″E
8,Muzeum Cechu Rzemiosł Skórzanych,52°14′58″N,21°00′38″E
9,Centrum Interpretacji Zabytku,"52°15′00,5″N","21°00′47,5″E"
10,Eksplozja „czołgu pułapki” na ulicy Kilińskiego w Warszawie,"52°14′58,11″N","21°00′32,00″E"
11,Góra Gnojna,52°15′00″N,21°00′50″E
12,Kamienica Pod Chrystusem w Warszawie,"52°14′58,7″N","21°00′38,6″E"
13,Kamienica Pod Okrętem w Warszawie,"52°14′56,62″N","21°00′44,73″E"
14,Kamienica Prażmowskich w Warszawie,"52°14′48,67″N","21°00′47,37″E"
15,Kamienica przy ul. Piwnej 6 w Warszawie,"52°14′53,83″N","21°00′45,93″E"
16,Kościół św. Marcina w Warszawie,52°14′53″N,21°00′44″E
17,Muzeum Farmacji im. mgr Antoniny Leśniewskiej,"52°14′56,50″N","21°00′41,19″E"
18,Pałac Dziekana w Warszawie,"52°14′55,39″N","21°00′50,30″E"
19,Parafia Archikatedralna św. Jana Chrzciciela w Warszawie,52°14′55″N,21°00′49″E
20,Pomnik Jana Kilińskiego w Warszawie,"52°14′53,6″N","21°00′39,1″E"
21,Rzeźba Oświęcim II w Warszawie,"52°14′56,06″N","21°00′36,36″E"
22,Szpital św. Ducha w Warszawie (ul. Elektoralna 12),"52°14′26,2320″N","20°59′53,4840″E"
23,Ulica Brzozowa w Warszawie,"52°15′01,5″N","21°00′46,6″E"
24,Ulica Bugaj w Warszawie,"52°14′59,0″N","21°00′55,0″E"
25,Ulica Celna w Warszawie,"52°14′59,5″N","21°00′48,0″E"
26,Ulica Dawna w Warszawie,"52°14′58,2″N","21°00′51,1″E"
27,Ulica Dziekania w Warszawie,"52°14′56,2″N","21°00′50,9″E"
